experiment_id,timestamp_utc,git_head,mode,seed,cpu_affinity,size_bytes,element_count,index_bytes,combined_working_set_bytes,condition,trial,execution_order,repeats,accesses,elapsed_ns,ns_per_access,useful_gib_per_second,checksum_observed,checksum_expected,checksum_pass
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,D_POINTER_CHASE,1,1,123,251904,366500,1.4549193343495934,5.120957857264665,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,D_POINTER_CHASE,2,2,123,251904,317400,1.2600038109756098,5.9131413191162565,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,C_RANDOM_INDEX,1,3,123,251904,108000,0.42873475609756095,17.378065321180557,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,B_SEQ_INDEX,1,4,123,251904,100100,0.39737360264227645,18.74956098588911,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,C_RANDOM_INDEX,2,5,123,251904,99600,0.3953887195121951,18.84368528802711,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,0,16384,A_DIRECT,1,6,123,251904,99900,0.3965796493902439,18.78709764451952,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,B_SEQ_INDEX,2,7,123,251904,100400,0.3985645325203252,18.69353640126992,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,C_RANDOM_INDEX,3,8,123,251904,100000,0.39697662601626016,18.768310546875,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,B_SEQ_INDEX,3,9,123,251904,100600,0.3993584857723577,18.656372312997018,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,0,16384,A_DIRECT,2,10,123,251904,99800,0.39618267276422764,18.805922391658317,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,16384,32768,D_POINTER_CHASE,3,11,123,251904,315500,1.2524612550813008,5.948751361925515,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,16384,2048,0,16384,A_DIRECT,3,12,123,251904,99000,0.39300685975609756,18.95788944128788,128848896.0,128848896.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,D_POINTER_CHASE,1,1,2,262144,2373400,9.053802490234375,0.82292281115699,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,0,1048576,A_DIRECT,1,2,2,262144,142800,0.54473876953125,13.67734593837535,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,B_SEQ_INDEX,1,3,2,262144,358000,1.36566162109375,5.455656424581006,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,0,1048576,A_DIRECT,2,4,2,262144,117900,0.4497528076171875,16.565945716709074,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,C_RANDOM_INDEX,1,5,2,262144,246400,0.93994140625,7.926643668831168,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,D_POINTER_CHASE,2,6,2,262144,2377900,9.070968627929688,0.8213654905588965,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,C_RANDOM_INDEX,2,7,2,262144,190000,0.72479248046875,10.279605263157894,134086656.0,134086656.0,True
